224,163,0
221,215,1
142,252,1
143,242,1
191,186,0
236,187,0
186,130,0
143,150,0
130,225,1
148,170,1
203,232,1
165,165,0
139,239,1
245,253,1
170,158,0
204,205,0
246,223,0
178,174,0
246,150,0
211,182,0
173,152,0
208,232,1
151,199,1
135,151,1
156,241,1
169,188,1
212,209,1
191,155,0
221,150,0
192,187,0
217,175,0
219,159,0
177,159,0
248,159,0
211,128,0
194,182,0
203,128,0
182,235,1
135,225,1
160,188,1
194,226,1
202,172,0
209,139,0
160,129,0
226,211,0
134,185,1
235,243,1
168,202,1
201,236,1
185,221,1
191,146,0
146,165,1
200,145,0
224,153,0
165,207,1
186,159,0
157,168,1
190,144,0
193,215,1
178,134,0
215,242,1
160,192,1
128,218,1
212,247,1
149,140,0
253,174,0
202,154,0
235,231,1
255,251,1
198,240,1
172,239,1
140,202,1
198,209,1
176,138,0
129,159,1
219,246,1
147,221,1
212,177,0
164,193,1
220,156,0
131,187,1
158,130,0
195,184,0
245,151,0
156,167,0
152,194,1
175,218,1
235,139,0
187,230,1
163,133,0
206,231,1
142,132,0
129,129,0
254,187,0
141,129,0
234,235,1
163,247,1
238,167,0
145,172,1
248,222,0
